condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	rg_cov	diff.T	diff.P
AAA	AF	0.14586056494470245	0.042623978775257185	0.07179228861984514	0.04774882503176617	0.0019587767104524913	5.5330259253395155	3.147529267194368e-8
AAA	alc_problems	0.12984747942861136	0.0648738089369947	0.07910409019082658	0.06791696347271822	0.004324668029259976	3.8692713930787352	1.0916107987658737e-4
AAA	allergic_rhinitis	0.055905339078315	0.061799882350047845	0.021233449919375876	0.06263156970145811	0.003796654021160386	2.843956139151322	0.004455718107377236
AAA	anxiety	0.194290502239764	0.04438748477455367	0.1600115798586794	0.04636599513595969	0.002016372236081647	3.6685595312541013	2.4392090134456673e-4
AAA	asthma	0.11655494180055143	0.05050496416906482	0.018331781746053332	0.05070997680784083	0.002394720457507221	5.384114139806561	7.280229731810931e-8
AAA	b12_def	0.13378599964809168	0.09101113267508841	0.031245818471345606	0.10225847670104975	0.009058150441912403	4.106467436202705	4.0175606970022536e-5
AAA	BPH	-0.02963871136481098	0.06390484566173178	-0.050255100371295096	0.06464328303426974	0.004085012108165904	2.1429053148796626	0.03212070212641315
AAA	bursitis	0.006713517982159398	0.08479630211413375	-0.10103901411332587	0.09235477736935649	0.0075641469591438415	4.430383891856065	9.406548329453108e-6
AAA	carpal_tunnel	0.05524942406525631	0.043213195845212625	-0.07708196475012866	0.05003614273563097	0.0019217357288694177	5.761579877239611	8.333020989891545e-9
AAA	cataract	0.0940125255016729	0.054768139851852256	0.0430343626435091	0.054726879405917736	0.0029399921059497193	4.7621048962768056	1.9158404557002763e-6
AAA	cholelithiasis	0.1339716405147224	0.06991087581267967	0.005460188329457064	0.08195809091892214	0.005504333511113992	5.264068627626565	1.409018137717256e-7
AAA	CKD	0.11818647839939019	0.06285087747970065	0.034848075077028834	0.06863212490774012	0.004209638726169698	5.364694464809947	8.108635777773573e-8
AAA	COPD	0.3154787332733304	0.06232678342613042	0.21068500693908523	0.06460477480978458	0.0038449940419345947	5.459659830195716	4.770477130215546e-8
AAA	coronary_heart	0.2706311740023672	0.04424535563193878	0.17966758479451417	0.05033480747843915	0.002087830173502171	5.120473296035657	3.0476977403396615e-7
AAA	deaf	0.0714490825653207	0.04999153661677879	0.04565369804227918	0.0519502648409057	0.002568578671209324	3.3074700562180572	9.414277593383263e-4
AAA	depression	0.15846615026345048	0.048758922411645145	0.09578627643995877	0.05215561817909969	0.0024835455698430865	5.4857987421795045	4.1160530546337445e-8
AAA	diabetes_type_2	0.15967522519191488	0.04785180019299493	-0.02320761001102827	0.055934970522269534	0.0021614204224650736	5.524997636795604	3.294900461684968e-8
AAA	diverticuli	0.13508996135311532	0.03767622705105239	0.06003906974310039	0.04231860361328649	0.0015121944821830447	5.5033929063361064	3.725508722499996e-8
AAA	ED	0.1333640491764992	0.07688618496008663	0.017554568379422493	0.0834115016707498	0.0061528454527516	4.879604153046098	1.0629897602064888e-6
AAA	enthesopathy_lower	0.2672209713796311	0.07859691374199042	0.14662715570252582	0.08549566197118753	0.006468528004422401	5.142478597371905	2.711373383863252e-7
AAA	enthesopathy_shoulder	0.14507091576032344	0.06580190421843354	0.04189251784980839	0.06554576891886046	0.0041607363631933235	5.911218350861782	3.3958652029531145e-9
AAA	enthesopathy_upper	0.10625554705234405	0.06865126813264744	0.011744641789410088	0.06734138810302784	0.004480558297150869	5.581305998612688	2.3871922565805778e-8
AAA	essential_tremor	0.09576163257488808	0.08384269540148692	0.061383361342971926	0.08883791567915926	0.007325978265222264	2.092907041956413	0.03635745351116865
AAA	female_genital_prolapse	0.08449036765818323	0.04430929959634309	0.04693386487582861	0.04661722079946406	0.002022563128157586	3.9293762865809017	8.516647913808459e-5
AAA	fibromatosis	0.0483415320410787	0.05407604202491349	0.05859923019552971	0.05570742641450074	0.002981321876727507	-1.273369916215354	0.20288680743392523
AAA	fibromyalgia	0.19363793479427258	0.08082337947488427	0.07487884639476754	0.09268857662879322	0.007133272500189243	4.056624532370939	4.978702175716446e-5
AAA	gastritis_duodenitis	0.11702271542359714	0.05541346166932367	-0.0017087858113365027	0.06445874732834721	0.0033491979461760055	5.171113209787981	2.3270352689254383e-7
AAA	glaucoma	0.011587152467052424	0.045834253905814595	0.01893755085899009	0.04702449323965635	0.002127750654011614	-0.9771866741437747	0.3284767440023879
AAA	GORD	0.19349317188927506	0.0374909718160763	0.07442033598170143	0.039274004490658744	0.0012701351029913988	5.896789309865925	3.7064262431449165e-9
AAA	gout	0.17806702023646107	0.048364632018326734	0.05932070432042476	0.05679626009848789	0.002540393368480035	5.396634134156666	6.790265265307032e-8
AAA	HF	0.2851215908018792	0.051060071755607776	0.1377155863305708	0.06251309393929132	0.0027547422752716884	4.648544017426803	3.3428628994139564e-6
AAA	hypertension	0.30758646575589116	0.05700995110179775	0.19256364810730314	0.05653166785283043	0.003024479425411912	5.772792337447216	7.79685095099067e-9
AAA	hyperthyroid	0.27830549247274167	0.06847194724255094	0.25782394922897234	0.07130666254767157	0.004807390075495211	1.6280463384397723	0.10351506056771881
AAA	hypothyroid	0.050448182154893106	0.07461269291535559	-0.011138084499877222	0.07777285817395385	0.005749354413393869	5.694562940415505	1.236883524065538e-8
AAA	IBS	0.10303142995672944	0.09683089845285352	0.04482622382447745	0.101049364539164	0.009613222445990973	3.064484376391793	0.0021804556291335456
AAA	IDA	0.1395111353400817	0.10931175148359883	0.016396887106776867	0.11434435356059736	0.01225049340075046	5.384937339827528	7.246989019757356e-8
