condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	rg_cov	diff.T	diff.P
AAA	AF	0.14586056494470245	0.042623978775257185	0.105311529593111	0.0460855227967103	0.0019056128211822631	3.5638868249935913	3.654035518606595e-4
AAA	alc_problems	0.12984747942861136	0.0648738089369947	0.11985655661248297	0.06647743698240083	0.004288144890028803	1.3912433668474498	0.16415164076433175
AAA	allergic_rhinitis	0.055905339078315	0.061799882350047845	0.051538101646014425	0.06195633195323243	0.003808622218584828	0.6856690096925049	0.4929218533714216
AAA	anxiety	0.194290502239764	0.04438748477455367	0.21068350365075333	0.04595505666515722	0.0020150078945977245	-2.271112140325298	0.02314019025061313
AAA	asthma	0.11655494180055143	0.05050496416906482	0.07408269559818469	0.05000770428382015	0.0024655956127454847	3.8718370034279834	1.0801817945212335e-4
AAA	b12_def	0.13378599964809168	0.09101113267508841	0.09015177721066646	0.09508884038432625	0.008566757800925024	3.1539752240597454	0.001610627589729236
AAA	BPH	-0.02963871136481098	0.06390484566173178	-0.03082626276180411	0.06368761984638131	0.004053926151351299	0.20963708437294706	0.8339509335741278
AAA	bursitis	0.006713517982159398	0.08479630211413375	-0.020933244897411746	0.08610486649577229	0.0072413564994365165	2.5056105576537324	0.012224017570119145
AAA	carpal_tunnel	0.05524942406525631	0.043213195845212625	-0.010751356845772614	0.04865889049295482	0.0019602434824897864	3.7211987069873325	1.982793371073158e-4
AAA	cataract	0.0940125255016729	0.054768139851852256	0.07905723826604573	0.05468855747825712	0.002979089005925611	2.6351364231970247	0.00841034729279116
AAA	cholelithiasis	0.1339716405147224	0.06991087581267967	0.07090738447333152	0.08110212759113344	0.005538704029719073	3.2029335175710125	0.0013603538138031968
AAA	CKD	0.11818647839939019	0.06285087747970065	0.07636575108868614	0.06785615809017856	0.004205090397992976	3.4789031483575483	5.034705114184385e-4
AAA	COPD	0.3154787332733304	0.06232678342613042	0.28191307811557265	0.06218882853925052	0.003832516848308992	3.597693279371414	3.2105190517897283e-4
AAA	coronary_heart	0.2706311740023672	0.04424535563193878	0.23771294397407855	0.04631189206409242	0.002002170456135155	3.323515446276682	8.889049989136213e-4
AAA	deaf	0.0714490825653207	0.04999153661677879	0.058174712773526184	0.05118189430213426	0.002543719608277914	2.3726629391243166	0.017660371786744285
AAA	depression	0.15846615026345048	0.048758922411645145	0.1451111507822192	0.04961355467075614	0.002409529162905242	2.9953436289355073	0.0027413581921984964
AAA	diabetes_type_2	0.15967522519191488	0.04785180019299493	0.07673826859676783	0.051471726690866304	0.0021715761709149746	3.397284011436926	6.805829093263221e-4
AAA	diverticuli	0.13508996135311532	0.03767622705105239	0.11544035259705189	0.03902056736042403	0.0014524310869705292	3.219924160789013	0.0012822451373291422
AAA	ED	0.1333640491764992	0.07688618496008663	0.07835459301417295	0.08277411153980602	0.006233292348245908	3.19490895968276	0.0013987495619969116
AAA	enthesopathy_lower	0.2672209713796311	0.07859691374199042	0.22890197503191018	0.07950329169959139	0.006187970994299585	3.464892749563412	5.304429748800836e-4
AAA	enthesopathy_shoulder	0.14507091576032344	0.06580190421843354	0.11622395711565292	0.06491502849113262	0.004240846411145204	3.6588876039051463	2.533123988471895e-4
AAA	enthesopathy_upper	0.10625554705234405	0.06865126813264744	0.08362666821139073	0.06835688947978748	0.004660278989759397	2.804546313248159	0.005038744815739962
AAA	essential_tremor	0.09576163257488808	0.08384269540148692	0.07720489085926063	0.08592958423846832	0.007158026005262775	1.8799023627109444	0.06012138584985141
AAA	female_genital_prolapse	0.08449036765818323	0.04430929959634309	0.07894647887404112	0.04508934110189248	0.0019847864900072003	1.0711007593041664	0.28412412684931426
AAA	fibromatosis	0.0483415320410787	0.05407604202491349	0.06862588655665522	0.05660964714032659	0.0030364293377808617	-2.7103254766157034	0.006721721218498734
AAA	fibromyalgia	0.19363793479427258	0.08082337947488427	0.15204064360845468	0.08450682487333437	0.0067396238220085915	2.9820994020012845	0.0028627903223599565
AAA	gastritis_duodenitis	0.11702271542359714	0.05541346166932367	0.07673049588349184	0.058897947942717174	0.003197730858228016	3.355841042272638	7.91240325438292e-4
AAA	glaucoma	0.011587152467052424	0.045834253905814595	0.022686685208486306	0.04644264566157324	0.0021119610570909677	-1.9098543496411549	0.05615196918804833
AAA	GORD	0.19349317188927506	0.0374909718160763	0.15967344099353176	0.03803090804039354	0.0013848049191387901	3.727654731263596	1.9326990389345223e-4
AAA	gout	0.17806702023646107	0.048364632018326734	0.11563547100887346	0.055244639602687606	0.0025040057992623327	3.1897024295633614	0.0014241935659271019
AAA	HF	0.2851215908018792	0.051060071755607776	0.22329906315446452	0.06060865687477472	0.0028409337864988833	2.526690520466648	0.011514291684602577
AAA	hypertension	0.30758646575589116	0.05700995110179775	0.26100160877371625	0.05588921244365685	0.003083095019456337	3.233589688595869	0.0012224494537213543
AAA	hyperthyroid	0.27830549247274167	0.06847194724255094	0.27764797833489946	0.07031122921134558	0.004792405045728537	0.0956376147977465	0.9238083898224901
AAA	hypothyroid	0.050448182154893106	0.07461269291535559	0.02184018735007991	0.07721601646369662	0.00573669042669669	3.8233721874326365	1.3163884308629487e-4
AAA	IBS	0.10303142995672944	0.09683089845285352	0.10446927480652642	0.09850025962884103	0.009492010902847882	-0.1479077678482115	0.8824155577818865
AAA	IDA	0.1395111353400817	0.10931175148359883	0.08824092996126896	0.10980507553563229	0.011908195301918197	3.7212651488992017	1.9822716706343544e-4
