condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	rg_cov	diff.T	diff.P
AF	asthma	0.06677822777887045	0.02605244982339419	0.060996262749958334	0.02638617004181017	6.844034084119221e-4	2.3308891039990978	0.019759207977423893
AF	carpal_tunnel	0.01696047889845515	0.02650124328428941	0.009708914912133507	0.026827761491680972	7.066588308084213e-4	2.4547014640399274	0.014100163098787238
AF	cholelithiasis	0.08216199493965935	0.026933487276416104	0.0765464038687615	0.027621017447415495	7.39900912740057e-4	1.9225708995023325	0.05453396157711504
AF	COPD	0.0706878202796816	0.027814557903630154	0.06402298876647192	0.028335920511697102	7.843602547569271e-4	2.378248264660528	0.01739510978555846
AF	coronary_heart	0.2179729274839492	0.020856028816707155	0.2138424799295237	0.02117635032691214	4.3935461118245413e-4	1.904721043140198	0.05681634212091674
AF	diabetes_type_2	0.06830737265134	0.023714192347483384	0.05990950353110654	0.024743600858147058	5.799625964619107e-4	2.1915640722075582	0.028410998554112225
AF	enthesopathy_lower	0.0633871635994413	0.047222376913464495	0.057683174308212834	0.047624490764988155	0.0022454358669690548	2.129708536992423	0.033195683749916896
AF	gout	0.1279029245515609	0.02363186596222075	0.12331276207177189	0.023878919537696153	5.61772904354954e-4	2.028172764428956	0.0425426185607095
AF	HF	0.5607406199569093	0.03043918398685783	0.5629605614944937	0.031178088199990416	9.438595980294134e-4	-0.6724653914631495	0.5012874654395891
AF	hypertension	0.32955595151640504	0.024787342816681043	0.32658618768802655	0.024807728432381403	6.109207569215656e-4	1.0503482614006372	0.2935580238744275
AF	hypothyroid	0.06709034478865976	0.022263930042326133	0.06522470740580094	0.022557899221929346	5.012370305831968e-4	1.297542492746096	0.19444459431098793
AF	IDA	0.10149857980421136	0.04097380870546299	0.09429143877243715	0.04222258622134457	0.0017244307177904207	2.0193258590527186	0.043453361884910634
AF	OA	0.10723855036549164	0.026210399217612458	0.09955294736290758	0.026859149941048075	6.972681233026385e-4	2.0642095491349406	0.038997852516029524
AF	peripheral_arterial	0.2156508799856084	0.05223289877760993	0.21046493957686338	0.053522771688687645	0.00278811211402384	1.2675592503970694	0.20495539191027312
AF	pri_breast	0.06993638248915342	0.025412793035167934	0.06434502479375886	0.0257647361930111	6.515806551256003e-4	2.1981265656952753	0.027940087879851357
AF	psoriasis	0.07825597877688457	0.0401544512687098	0.07521719297747914	0.040511715682805434	0.0016252481793336507	1.730748896450609	0.08349656010913228
AF	RA	0.12796742400395034	0.03268971645863122	0.12641434068218346	0.03289760276847855	0.0010744992599401768	1.1353293523603747	0.2562373482202132
AF	sleep_apnoea	0.14540064813934653	0.03150183319947354	0.13837813866411652	0.032139019847344436	0.001005236126591154	1.8248079849645509	0.06803001047283563
