condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	rg_cov	diff.T	diff.P
AAA	AF	0.14586056494469327	0.042623978775254014	0.09605566961713728	0.04736141274795161	0.0019622532790078977	4.28017983069891	1.8674235866531355e-5
AAA	alc_problems	0.12984747942860314	0.06487380893699056	0.10512513572729319	0.06793385675010574	0.004367081940529683	2.6138740960713687	0.008952201910185148
AAA	allergic_rhinitis	0.05590533907831141	0.06179988235004388	0.04810938253433269	0.06205260981150801	0.003807096234713158	1.0459013890566888	0.29560656298259813
AAA	anxiety	0.19429050223975183	0.04438748477455098	0.20803406424034124	0.045861046934223375	0.002012518756962406	-1.9745413602246211	0.04832021932084507
AAA	asthma	0.11655494180054404	0.05050496416906176	0.05741859620377587	0.048459153227279395	0.002360366139931362	4.4286184837980755	9.483861405027685e-6
AAA	b12_def	0.13378599964808316	0.09101113267508278	0.06151121839224394	0.09879515750344572	0.008823386162967505	3.628568980632929	2.8499660373810647e-4
AAA	BPH	-0.0296387113648091	0.06390484566172767	-0.029310854574184024	0.06325637276176999	0.004020529720577295	-0.04934863428535256	0.9606414621488791
AAA	bursitis	0.006713517982158964	0.08479630211412803	-0.043963651558785795	0.08963961676848355	0.0074908132741393465	3.243959602023017	0.001178804637489779
AAA	carpal_tunnel	0.05524942406525281	0.04321319584521002	-0.03518678904594657	0.04879254167299196	0.0019205911604032464	4.483251837934395	7.3514084302760446e-6
AAA	cataract	0.09401252550166696	0.054768139851848786	0.07012035373249262	0.054461981283874084	0.0029574597914680954	3.354234216175703	7.958496768147905e-4
AAA	cholelithiasis	0.1339716405147139	0.06991087581267427	0.04352900021277253	0.08617585257785954	0.005888702690094292	3.9050602309976634	9.42019198420385e-5
AAA	CKD	0.11818647839938269	0.0628508774796959	0.05439619997757277	0.07135753535201916	0.0044134773178028195	4.348681157996118	1.3695865911446663e-5
AAA	COPD	0.31547873327331044	0.06232678342612747	0.2583465251647005	0.06025762803838007	0.003670403979444179	4.321237844138179	1.5515631668537527e-5
AAA	coronary_heart	0.27063117400235004	0.04424535563193534	0.214768540844274	0.04789661600312252	0.0020330475353196632	4.0999918405895865	4.131647049444891e-5
AAA	deaf	0.07144908256531624	0.049991536616775356	0.05484342139463751	0.05208793517386866	0.002590351083578626	2.953801588588606	0.0031388574101302164
AAA	depression	0.1584661502634406	0.04875892241164127	0.1386053790367291	0.050629327729955	0.0024565939014743717	3.782246765133259	1.5541917426593955e-4
AAA	diabetes_type_2	0.15967522519190477	0.047851800192992365	0.03058363191099131	0.04788825179655733	0.0018600754341754143	4.394510800276249	1.1102248429768412e-5
AAA	diverticuli	0.13508996135310675	0.03767622705104969	0.10115438918543464	0.04081057803835187	0.001509577801780658	4.1820696849753505	2.8886739702080852e-5
AAA	ED	0.13336404917649072	0.07688618496008165	0.050672301113641904	0.08538962810326149	0.006374369333025492	3.8803376171085544	1.0431156805070229e-4
AAA	enthesopathy_lower	0.26722097137963174	0.07859691374198978	0.20155224217271234	0.0807554141124405	0.006196422548809385	3.7536225503773744	1.7429725788706138e-4
AAA	enthesopathy_shoulder	0.1450709157603143	0.0658019042184297	0.09119525987277902	0.06157220793647996	0.003987674990832261	4.463715110222906	8.055065069725905e-6
AAA	enthesopathy_upper	0.10625554705233745	0.06865126813264345	0.05559294948645938	0.06649727995763999	0.004482430451597914	3.8853701225825965	1.0217410494838741e-4
AAA	essential_tremor	0.095761632574882	0.0838426954014816	0.0845983281192012	0.08624513467514648	0.007189602240510021	1.1858666331300096	0.23567497202323529
AAA	female_genital_prolapse	0.08449036765817788	0.044309299596340064	0.07223294925739134	0.046032381182426474	0.0020244350470287474	2.120163964530068	0.03399222020647482
AAA	fibromatosis	0.048341532041075636	0.05407604202491008	0.06725956366815185	0.05657792437013132	0.0030391572608996793	-2.7604970014943246	0.005771348779007332
AAA	fibromyalgia	0.19363793479425923	0.0808233794748788	0.13248528258109613	0.08680101127796593	0.0068747112183986355	3.4324464377520516	5.981620220738325e-4
AAA	gastritis_duodenitis	0.11702271542358975	0.05541346166932043	0.05316782841321579	0.06162072979068339	0.003303165052051195	3.949221299021119	7.840584045050348e-5
AAA	glaucoma	0.011587152467051696	0.0458342539058117	0.023503445183185666	0.04703899268893815	0.002137291417436271	-1.9114984696773891	0.055940553271366315
AAA	GORD	0.19349317188926282	0.03749097181607417	0.13271530410483853	0.03872503530137657	0.001355861700876919	4.369479935911582	1.245427817648773e-5
AAA	gout	0.1780670202364498	0.048364632018322536	0.08734944325921702	0.0595283645608821	0.0026625900173925664	3.841814355000193	1.221281945312825e-4
AAA	HF	0.28512159080186106	0.05106007175560524	0.18527980698103944	0.062003033385658796	0.0027774871919492394	3.334488824089917	8.545633440902939e-4
AAA	hypertension	0.3075864657558716	0.05700995110179535	0.2358417212382689	0.05168147673373812	0.0028343076072007774	4.515067664873958	6.329655231573919e-6
AAA	hyperthyroid	0.27830549247272424	0.06847194724254772	0.27141482885641455	0.07044725400891004	0.004788436337978489	0.7991331731128521	0.4242131961347549
AAA	hypothyroid	0.050448182154889915	0.07461269291535028	0.012384674839474702	0.07906962992755988	0.005874453302417213	4.544472322877029	5.507304268110297e-6
AAA	IBS	0.1030314299567223	0.09683089845284683	0.10288683309215188	0.09891406922487794	0.009513036023920065	0.012484563139878615	0.990039018583255
AAA	IDA	0.13951113534007273	0.10931175148359223	0.0559075387415287	0.10613040575476344	0.011431845965374627	4.475004904592426	7.640955871533737e-6
